TABLE NO.     5: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       THETA6       THETA7       THETA8       THETA9       THETA10      THETA11      SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9947  3.30766E+00  3.22517E+00 -6.14161E-01 -1.98564E-01  7.63832E-01  1.12915E+00  3.29399E-01  1.95001E-01  6.85216E-01  2.29224E+00  9.55330E-02  1.00000E+00  1.14422E-02 -1.03693E-05  9.63144E-03  5.68347E-04 -1.51396E-03  1.00097E-02 -7.21348E-04 -2.16941E-06  3.31058E-03  1.21075E-02   -19097.3685177264
        -9946  3.31198E+00  3.25820E+00 -6.14871E-01 -2.12664E-01  7.06196E-01  1.18693E+00  3.46957E-01  1.76094E-01  6.71138E-01  2.28624E+00  9.57438E-02  1.00000E+00  1.12999E-02  6.01187E-04  1.00166E-02  1.05047E-03 -6.68363E-04  1.00429E-02 -1.03205E-03 -3.21022E-04  2.81966E-03  1.11517E-02   -19159.2724515817
        -9945  3.29683E+00  3.23185E+00 -6.12794E-01 -2.03154E-01  7.74281E-01  1.17673E+00  3.26341E-01  1.76589E-01  6.69123E-01  2.29865E+00  1.01190E-01  1.00000E+00  1.16493E-02  5.96748E-04  8.74603E-03  7.54890E-04 -2.61498E-04  9.93746E-03 -3.77869E-04  1.35250E-03  2.63390E-03  1.10975E-02   -19013.9732053016
        -9944  3.30633E+00  3.28810E+00 -6.11742E-01 -2.20637E-01  7.93839E-01  1.18848E+00  3.21597E-01  1.73671E-01  6.89903E-01  2.29126E+00  1.00978E-01  1.00000E+00  1.12707E-02  2.36535E-04  8.77618E-03  1.98379E-03 -3.73545E-04  1.05745E-02 -7.56786E-04  1.86646E-03  3.03721E-03  1.13298E-02   -19021.4458646754
        -9943  3.33106E+00  3.31444E+00 -6.19410E-01 -2.24439E-01  8.10641E-01  1.17974E+00  3.15877E-01  1.78894E-01  6.78395E-01  2.28870E+00  1.03967E-01  1.00000E+00  1.07780E-02  7.28153E-04  8.98185E-03  1.94843E-03 -9.72139E-04  9.74969E-03 -4.88574E-04  1.92415E-03  1.91075E-03  1.01122E-02   -19012.4616838692
        -9942  3.28120E+00  3.25198E+00 -6.12297E-01 -2.08184E-01  8.03476E-01  1.17406E+00  3.12423E-01  1.80477E-01  6.73381E-01  2.28950E+00  1.00489E-01  1.00000E+00  1.12718E-02  9.47945E-04  9.09481E-03  1.94900E-03 -3.80739E-04  9.97808E-03 -5.53154E-04  1.33188E-03  1.09732E-03  1.07723E-02   -19020.6456218230
        -9941  3.29820E+00  3.22380E+00 -6.11690E-01 -1.99622E-01  7.54763E-01  1.14529E+00  3.31059E-01  1.93198E-01  6.78275E-01  2.29732E+00  1.00384E-01  1.00000E+00  1.10660E-02  1.28938E-03  9.65732E-03  2.12831E-03 -2.56750E-04  9.36613E-03 -1.38638E-04  5.17253E-04  1.35067E-03  1.01259E-02   -19015.7521288296
        -9940  3.30733E+00  3.22022E+00 -6.13107E-01 -1.96749E-01  7.22270E-01  1.12052E+00  3.40679E-01  2.01384E-01  6.75727E-01  2.29604E+00  1.01645E-01  1.00000E+00  1.11237E-02  2.68133E-03  9.22721E-03  1.78574E-03 -7.71760E-04  9.85609E-03 -4.22838E-04  1.16748E-03  7.27889E-04  1.01733E-02   -19153.3932860838
        -9939  3.29602E+00  3.24713E+00 -6.14053E-01 -2.07954E-01  6.56571E-01  1.12849E+00  3.54985E-01  1.95931E-01  6.78436E-01  2.29687E+00  1.00599E-01  1.00000E+00  1.26717E-02  2.05398E-03  9.28819E-03  7.68619E-04 -2.59010E-04  8.68506E-03 -8.39341E-04  1.11013E-03  2.75860E-04  8.12769E-03   -19116.5342846637
        -9938  3.37305E+00  3.22620E+00 -6.33347E-01 -2.00641E-01  7.02725E-01  1.13940E+00  3.43270E-01  1.94232E-01  6.90561E-01  2.29028E+00  1.01047E-01  1.00000E+00  1.13509E-02  8.74326E-04  8.39335E-03  3.62197E-04 -2.85224E-04  8.33745E-03 -1.01168E-03  8.12399E-04  1.31143E-03  8.88200E-03   -19048.6874598402
