TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9954  1.66644E+00  1.58152E+00  7.13126E-01  2.30074E+00  7.14606E-02  1.75780E-01  1.81147E-02  2.89198E-01 -4.81897E-02 -3.19497E-05  1.69649E-01  8.60476E-03  4.01555E-02 -2.58525E-02  1.15629E-01   -2177.44560756389
        -9953  1.70928E+00  1.58098E+00  8.14984E-01  2.28946E+00  6.03821E-02  1.96081E-01  3.24684E-02  2.68688E-01  2.87887E-02  1.95370E-02  1.29604E-01 -4.27545E-02 -6.43020E-03 -2.53964E-02  1.26852E-01   -2203.67916946266
        -9952  1.58319E+00  1.50765E+00  6.50089E-01  2.35598E+00  6.15649E-02  1.67661E-01 -1.20702E-02  2.49026E-01  8.94912E-03  1.28933E-02  1.11433E-01 -3.84479E-03  2.92402E-03 -2.45936E-02  1.04102E-01   -2222.63024120949
        -9951  1.67748E+00  1.53875E+00  6.73861E-01  2.36989E+00  6.33414E-02  2.19657E-01  2.57158E-02  2.32713E-01  3.11178E-02  1.58849E-02  1.02587E-01 -1.07541E-02  3.52161E-03 -6.37294E-03  1.02181E-01   -2204.96179824714
        -9950  1.73086E+00  1.53191E+00  7.12231E-01  2.39088E+00  5.71555E-02  1.44698E-01  7.27280E-03  2.10647E-01  1.94789E-02  5.54583E-02  1.28656E-01 -2.01709E-02  1.22744E-02 -1.39274E-02  1.36317E-01   -2261.19961866955
        -9949  1.61786E+00  1.62506E+00  6.69174E-01  2.34740E+00  5.02397E-02  1.59727E-01 -3.46611E-02  2.15210E-01  8.83977E-03  2.84724E-03  1.17646E-01 -2.46897E-02 -1.49010E-02 -3.49374E-03  1.23960E-01   -2236.84106318780
        -9948  1.60101E+00  1.61644E+00  7.22834E-01  2.29864E+00  5.52139E-02  1.83454E-01  2.40988E-02  2.39782E-01  9.06462E-03 -7.77799E-03  1.17100E-01 -3.60842E-02 -1.13473E-02 -1.00382E-02  1.07401E-01   -2251.61203320706
        -9947  1.68689E+00  1.65960E+00  6.70188E-01  2.35082E+00  5.54524E-02  2.17442E-01  1.00993E-02  1.73338E-01 -9.60361E-03  4.77709E-02  1.50784E-01 -8.05372E-02  2.25359E-02 -4.79884E-03  1.43110E-01   -2296.57174344650
        -9946  1.68807E+00  1.61083E+00  7.04054E-01  2.31680E+00  5.95192E-02  1.73686E-01 -3.22460E-03  2.14311E-01  1.76302E-02  3.66755E-02  9.61637E-02 -3.44434E-02  9.28799E-03 -2.12883E-02  1.27396E-01   -2289.52383579757
        -9945  1.68869E+00  1.65154E+00  7.47417E-01  2.35939E+00  5.52596E-02  1.65115E-01 -7.69243E-04  1.39643E-01  7.10698E-03  1.89603E-02  8.17914E-02  1.43826E-03  5.64651E-03 -1.70960E-02  1.37921E-01   -2275.40158565796
