TABLE NO.     4: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   OMEGA(4,1)   OMEGA(4,2)   OMEGA(4,3)   OMEGA(4,4)   MCMCOBJ
        -9941  1.60844E+00  1.50150E+00  7.90037E-01  2.34410E+00  5.92151E-02  1.44372E-01  8.33023E-03  1.48904E-01 -8.84476E-03  4.75307E-02  1.90377E-01  5.38892E-04  6.09332E-03  3.90314E-02  1.20745E-01   -2326.81466677159
        -9940  1.61589E+00  1.59271E+00  8.15917E-01  2.33867E+00  6.01100E-02  1.86158E-01 -4.45072E-02  1.31345E-01 -4.02128E-02  7.75418E-02  2.50058E-01 -6.56858E-02  3.23604E-02  6.06230E-02  1.74323E-01   -2246.87220898481
        -9939  1.58727E+00  1.51711E+00  7.63031E-01  2.39854E+00  6.80740E-02  1.73659E-01  9.96217E-03  1.59685E-01 -3.89088E-03  4.78502E-02  2.17120E-01 -1.18798E-02  6.33875E-02  6.07857E-02  2.10963E-01   -2240.41039782761
        -9938  1.68172E+00  1.58605E+00  7.66373E-01  2.34880E+00  7.14618E-02  2.14667E-01 -1.02599E-02  1.52879E-01  2.10944E-02  4.21788E-02  2.45096E-01 -4.15998E-04  7.49464E-02  9.46636E-02  2.71875E-01   -2237.29603074472
        -9937  1.65585E+00  1.55417E+00  6.89257E-01  2.35311E+00  6.73895E-02  1.42954E-01 -7.95853E-03  1.53474E-01 -5.19003E-03 -1.05408E-02  2.23744E-01 -3.29661E-02  4.62803E-02  6.65056E-02  2.43659E-01   -2290.26770046420
        -9936  1.55334E+00  1.50769E+00  7.31806E-01  2.43690E+00  5.59650E-02  1.43253E-01 -8.41210E-03  1.61985E-01 -1.96839E-03  3.33204E-03  1.50849E-01 -1.98932E-02  4.33792E-02  6.26203E-02  2.51073E-01   -2314.46414106799
        -9935  1.66316E+00  1.45405E+00  7.24909E-01  2.35646E+00  6.32068E-02  1.68889E-01 -2.14508E-02  1.75572E-01  1.99608E-02 -3.56907E-02  1.77022E-01 -1.27326E-02  4.84241E-02  8.83976E-03  1.91149E-01   -2267.94380072212
        -9934  1.60237E+00  1.44791E+00  6.70704E-01  2.37025E+00  6.89012E-02  1.44892E-01 -7.27754E-03  1.61326E-01  2.29046E-02 -7.43563E-02  1.98241E-01  2.74451E-03  4.13473E-02  4.91342E-02  1.91833E-01   -2256.54674268686
        -9933  1.59487E+00  1.52858E+00  6.71735E-01  2.40655E+00  5.77427E-02  1.41042E-01 -2.58589E-02  1.59445E-01  4.89638E-02 -6.08424E-02  1.90657E-01 -2.22126E-02  7.19476E-02  5.47356E-03  2.62103E-01   -2300.89574282974
        -9932  1.63838E+00  1.52470E+00  6.47370E-01  2.32855E+00  5.99767E-02  1.77961E-01  3.05355E-02  1.49277E-01  3.56368E-02 -3.77113E-02  1.22689E-01  1.89031E-02  5.25009E-02 -3.90552E-03  1.50798E-01   -2331.91353033490
        -9931  1.55257E+00  1.53133E+00  7.08300E-01  2.37855E+00  5.55504E-02  1.66008E-01  1.97161E-04  1.40497E-01  5.26009E-02 -3.45140E-02  1.34596E-01  2.74479E-02  4.27187E-02 -1.73457E-03  1.60344E-01   -2350.91958255432
        -9930  1.62580E+00  1.47455E+00  7.17369E-01  2.31116E+00  5.17538E-02  1.46790E-01  2.16858E-02  1.23281E-01  4.26871E-02 -7.99345E-03  1.21082E-01  7.60940E-03 -1.45846E-02  2.87619E-02  1.52251E-01   -2328.44800804819
        -9929  1.67574E+00  1.49966E+00  6.72619E-01  2.24717E+00  5.73756E-02  1.79418E-01  2.77595E-02  1.56403E-01  1.71908E-02  7.95148E-03  1.13212E-01 -9.52258E-03  2.69651E-02  2.01376E-02  1.45654E-01   -2302.70303060393
        -9928  1.60953E+00  1.55239E+00  6.97817E-01  2.39030E+00  5.64207E-02  1.71202E-01  1.53813E-02  1.63646E-01  8.48730E-03 -2.59747E-02  1.40229E-01  1.82523E-02  8.29636E-03  3.81315E-02  1.94732E-01   -2324.59651864100
        -9927  1.62105E+00  1.60573E+00  7.31929E-01  2.23400E+00  5.46529E-02  1.39483E-01  4.42369E-03  1.56471E-01  2.01951E-02 -3.62332E-02  1.56471E-01 -4.29258E-02 -1.50612E-02  1.44151E-02  1.99089E-01   -2342.44533177665
        -9926  1.56679E+00  1.54008E+00  6.62120E-01  2.29108E+00  5.77679E-02  1.52777E-01 -4.04534E-02  1.69474E-01  7.63165E-03 -5.73514E-03  1.08340E-01 -2.21840E-02 -2.62294E-02  2.40115E-02  1.67980E-01   -2327.49272495714
        -9925  1.63529E+00  1.58801E+00  7.03305E-01  2.33470E+00  5.69501E-02  1.44800E-01 -3.92068E-02  1.21249E-01 -1.67693E-02  3.05417E-03  1.21490E-01 -5.66499E-02  5.45042E-03  2.27432E-02  1.18668E-01   -2385.39479569889
        -9924  1.70089E+00  1.55777E+00  6.53794E-01  2.27404E+00  6.09950E-02  1.51402E-01 -1.13230E-02  1.21338E-01 -1.93753E-02 -8.88240E-03  1.21326E-01 -5.02893E-02 -2.24574E-02  2.78785E-02  1.33962E-01   -2393.72820943221
        -9923  1.63085E+00  1.59795E+00  7.02838E-01  2.36942E+00  7.06464E-02  1.43400E-01 -2.75865E-02  1.51318E-01 -4.59708E-03 -2.38366E-02  9.62879E-02 -4.39235E-02 -7.61790E-03  1.78778E-02  1.25739E-01   -2344.32074981311
        -9922  1.65108E+00  1.60573E+00  6.97418E-01  2.37114E+00  6.72105E-02  1.26692E-01 -2.45320E-02  1.14409E-01 -1.73216E-02 -4.70270E-03  9.18296E-02 -3.41979E-02  7.68049E-03  1.70081E-03  1.09892E-01   -2360.54819282317
        -9921  1.65002E+00  1.53492E+00  7.81294E-01  2.33665E+00  6.72425E-02  1.43832E-01 -2.16679E-02  1.00653E-01 -3.44875E-03 -1.84185E-02  9.69565E-02 -4.29573E-02 -8.30460E-03 -1.59222E-02  1.41789E-01   -2321.74080127728
        -9920  1.62965E+00  1.54877E+00  7.48502E-01  2.35787E+00  6.41124E-02  1.21618E-01 -6.15811E-03  1.23877E-01 -1.36804E-03 -2.36008E-02  9.86639E-02 -3.14929E-02 -1.26072E-02 -1.81846E-02  1.71384E-01   -2350.03022162674
        -9919  1.65252E+00  1.55423E+00  7.22522E-01  2.32941E+00  6.68683E-02  1.30528E-01 -6.35851E-04  1.70077E-01 -1.17609E-03 -2.65309E-02  8.21503E-02 -2.47469E-02  1.16820E-02  5.76562E-03  1.43261E-01   -2307.36408172631
        -9918  1.69243E+00  1.51414E+00  6.68221E-01  2.39031E+00  6.66877E-02  1.43224E-01 -4.11371E-02  1.57296E-01  3.65297E-02 -4.25032E-02  1.40923E-01 -2.44767E-02 -1.45581E-02  4.53516E-04  1.51997E-01   -2303.92199139053
