TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -2930  3.01649E+00  3.03433E+01  1.15657E+01 -7.03177E-01  8.55219E-02  2.31487E-02  1.02699E-01  5.88243E-03  7.98764E-02  4.51112E-02  2.65382E-02  7.98865E-02    5817.55003981157
        -2929  3.01105E+00  3.03453E+01  1.15541E+01 -7.02819E-01  8.54234E-02  2.17268E-02  9.30841E-02  9.57472E-03  8.81851E-02  3.93260E-02  3.59235E-02  8.45879E-02    5733.00282828724
        -2928  3.01127E+00  3.03850E+01  1.15699E+01 -7.05758E-01  8.47544E-02  2.24876E-02  7.66735E-02  9.59646E-04  7.17935E-02  3.33107E-02  2.60520E-02  8.63269E-02    5790.43318749846
        -2927  3.02055E+00  3.03209E+01  1.16306E+01 -7.08934E-01  8.41719E-02  2.45016E-02  7.31611E-02  5.84703E-04  7.30249E-02  2.56943E-02  2.94415E-02  8.26792E-02    5767.41376360310
        -2926  3.01079E+00  3.03562E+01  1.16259E+01 -7.11883E-01  8.55732E-02  2.40231E-02  8.15579E-02  8.83845E-03  7.40833E-02  4.42012E-02  3.26507E-02  1.01529E-01    5764.90166489153
        -2925  3.04173E+00  3.03971E+01  1.16403E+01 -7.22104E-01  8.64105E-02  2.21218E-02  8.03515E-02  7.67687E-03  6.73502E-02  3.52511E-02  2.60182E-02  8.44453E-02    5799.87620597297
        -2924  3.10866E+00  3.03717E+01  1.16101E+01 -7.16969E-01  8.43544E-02  2.35963E-02  9.19716E-02  1.93234E-03  7.24113E-02  3.84298E-02  2.99370E-02  8.54297E-02    5934.37019322892
        -2923  3.09817E+00  2.97427E+01  1.12738E+01 -7.41475E-01  8.64654E-02  2.31759E-02  1.11061E-01  8.52443E-03  6.91859E-02  4.03164E-02  2.61715E-02  8.44358E-02    5791.12253201069
        -2922  3.11405E+00  2.96399E+01  1.13125E+01 -7.48311E-01  8.50918E-02  2.26813E-02  9.71051E-02  4.34571E-03  8.37184E-02  3.12434E-02  3.89018E-02  8.95603E-02    5864.21305112119
        -2921  2.99732E+00  2.98100E+01  1.13348E+01 -5.99646E-01  7.91810E-02  2.24767E-02  1.19888E-01  1.12192E-02  8.88781E-02  4.85449E-02  3.60349E-02  8.42485E-02    5804.65169466200
        -2920  3.20026E+00  3.07327E+01  1.19726E+01 -4.96375E-01  7.20546E-02  2.27699E-02  1.15644E-01  7.38571E-03  7.54521E-02  4.15027E-02  2.65859E-02  7.45568E-02    5878.49771496400
        -2919  3.17805E+00  3.04118E+01  1.20151E+01 -4.97063E-01  7.14588E-02  2.30794E-02  8.96671E-02  2.67808E-04  8.04741E-02  2.42243E-02  3.41243E-02  9.01357E-02    5769.12120035088
        -2918  3.06426E+00  3.07786E+01  1.16508E+01 -5.42133E-01  7.15620E-02  2.17608E-02  7.84227E-02  1.90286E-03  7.87138E-02  1.94174E-02  3.42363E-02  8.34201E-02    5785.13792737515
        -2917  3.05995E+00  3.06142E+01  1.16728E+01 -5.80201E-01  8.31735E-02  2.28211E-02  8.70671E-02  1.34801E-03  8.50135E-02  2.84872E-02  3.16015E-02  8.32020E-02    5856.91582881713
        -2916  3.11278E+00  3.03387E+01  1.14442E+01 -6.00577E-01  8.25824E-02  2.31559E-02  7.95996E-02  6.34009E-03  9.11756E-02  3.75016E-02  3.42023E-02  8.74061E-02    5753.32968685769
        -2915  3.11575E+00  3.02591E+01  1.13620E+01 -5.85054E-01  7.33180E-02  2.22560E-02  9.95315E-02  5.94963E-03  7.54281E-02  3.87027E-02  2.84613E-02  8.92021E-02    5763.57959662169
        -2914  3.14988E+00  3.01223E+01  1.14987E+01 -5.62644E-01  7.23795E-02  2.29308E-02  9.36497E-02  1.25744E-02  8.10044E-02  4.12239E-02  4.35413E-02  1.09759E-01    5724.46145257856
        -2913  3.14058E+00  3.04000E+01  1.12987E+01 -5.71263E-01  8.37332E-02  2.27008E-02  9.21992E-02  5.64288E-03  8.16237E-02  3.98867E-02  3.41853E-02  9.70592E-02    5808.67578397607
        -2912  3.14809E+00  3.05564E+01  1.12973E+01 -5.80020E-01  7.26516E-02  2.21870E-02  9.80728E-02 -2.56322E-03  7.95974E-02  3.76214E-02  2.69064E-02  8.64914E-02    5753.16919565879
        -2911  3.11559E+00  3.05417E+01  1.13290E+01 -5.90532E-01  7.19936E-02  2.29187E-02  8.64814E-02  8.73835E-03  8.66346E-02  3.90689E-02  2.95975E-02  8.76886E-02    5782.40340997518
        -2910  3.11017E+00  3.02552E+01  1.16585E+01 -5.58519E-01  7.14543E-02  2.21361E-02  7.66988E-02  1.30054E-02  8.06472E-02  3.41918E-02  2.55523E-02  8.38574E-02    5786.37077916929
        -2909  3.04958E+00  2.89176E+01  1.13673E+01 -5.40057E-01  7.85358E-02  2.24027E-02  9.25398E-02  2.21154E-03  7.43648E-02  3.40077E-02  2.65360E-02  8.16157E-02    5820.38210115280
        -2908  3.14355E+00  2.89580E+01  1.13710E+01 -5.09374E-01  7.76215E-02  2.25365E-02  9.14662E-02 -8.08584E-03  8.66944E-02  2.96668E-02  3.21099E-02  8.92222E-02    5732.63396941878
        -2907  3.03518E+00  2.91094E+01  1.14051E+01 -4.96141E-01  7.67941E-02  2.14658E-02  8.60015E-02 -6.16120E-03  8.07700E-02  2.70383E-02  3.06990E-02  8.35083E-02    5659.18311691104
        -2906  3.09855E+00  2.91517E+01  1.14254E+01 -4.91610E-01  7.59897E-02  2.30426E-02  8.54939E-02 -3.30746E-03  6.90749E-02  3.91495E-02  2.26736E-02  9.06096E-02    5759.64962288637
        -2905  3.07741E+00  2.92222E+01  1.16841E+01 -4.86766E-01  7.58314E-02  2.23729E-02  8.71805E-02  2.40367E-03  7.38465E-02  3.49631E-02  4.03716E-02  9.69611E-02    5849.24354196813
        -2904  3.07885E+00  2.91349E+01  1.16686E+01 -4.67678E-01  7.55329E-02  2.29276E-02  8.88201E-02  2.19002E-03  9.73195E-02  3.18551E-02  2.47237E-02  8.19838E-02    5800.37958069986
        -2903  3.11132E+00  2.91211E+01  1.11332E+01 -5.63903E-01  7.62843E-02  2.27781E-02  9.43268E-02  3.94173E-03  7.81961E-02  3.77765E-02  2.81647E-02  7.55380E-02    5805.55252281495
        -2902  3.11833E+00  2.91610E+01  1.11778E+01 -5.47204E-01  7.51266E-02  2.40653E-02  9.25213E-02  1.94326E-03  8.26474E-02  4.05729E-02  3.22113E-02  8.36061E-02    5916.89094350522
        -2901  3.12097E+00  2.92564E+01  1.11954E+01 -5.63352E-01  7.50109E-02  2.39870E-02  9.24273E-02  1.18526E-02  7.91824E-02  3.69037E-02  2.96043E-02  8.76176E-02    5848.11344296186
        -2900  3.10739E+00  2.93624E+01  1.12067E+01 -5.33887E-01  7.36641E-02  2.30785E-02  9.14121E-02  1.21997E-02  7.56484E-02  3.92216E-02  2.57253E-02  8.83460E-02    5784.07856013529
        -2899  3.10672E+00  2.93401E+01  1.12000E+01 -5.56590E-01  7.40541E-02  2.23818E-02  8.09550E-02  1.59848E-02  7.45901E-02  3.52065E-02  2.74693E-02  8.19686E-02    5846.44231978730
        -2898  3.09522E+00  2.95356E+01  1.12429E+01 -5.08584E-01  7.49599E-02  2.28518E-02  1.10558E-01  1.93691E-02  7.82931E-02  4.91287E-02  2.97680E-02  8.86995E-02    5739.78356769223
        -2897  3.10676E+00  2.95177E+01  1.12033E+01 -5.16673E-01  7.20937E-02  2.24879E-02  9.96723E-02  1.78531E-02  7.86282E-02  3.50133E-02  3.55145E-02  8.39818E-02    5766.87097203167
        -2896  3.10833E+00  3.01599E+01  1.18347E+01 -6.42815E-01  8.33186E-02  2.20097E-02  8.74584E-02  4.54482E-03  7.42601E-02  2.64660E-02  3.61572E-02  8.48763E-02    5810.99501712477
        -2895  3.09244E+00  2.98241E+01  1.17328E+01 -7.22710E-01  9.13733E-02  2.23133E-02  8.65910E-02  5.07553E-03  7.82351E-02  3.62902E-02  3.28589E-02  8.80076E-02    5728.33383675114
        -2894  3.07275E+00  2.96467E+01  1.17164E+01 -7.17974E-01  9.31532E-02  2.28965E-02  9.39918E-02  7.30662E-03  7.27900E-02  4.44005E-02  2.44499E-02  8.47666E-02    5774.40592671021
        -2893  2.99513E+00  2.94105E+01  1.15203E+01 -8.71491E-01  9.06335E-02  2.31003E-02  8.51536E-02 -2.96882E-03  8.79885E-02  2.45791E-02  2.81659E-02  7.50021E-02    5731.27135269072
        -2892  3.00138E+00  2.91031E+01  1.15308E+01 -8.69308E-01  8.48216E-02  2.24397E-02  6.41276E-02 -1.14048E-03  7.58054E-02  2.49835E-02  3.15128E-02  9.09006E-02    5697.53325955174
        -2891  2.98281E+00  2.90911E+01  1.14745E+01 -7.85326E-01  8.87785E-02  2.19841E-02  7.14584E-02 -8.23610E-03  6.95506E-02  2.04206E-02  2.60904E-02  7.83320E-02    5680.26669190455
