TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -2929  1.13906E+00  3.41000E+00  2.44858E+00 -6.94924E-01  8.68260E-02  2.30385E-02  1.01685E-01  5.47844E-03  8.35794E-02  4.90977E-02  3.00572E-02  8.07093E-02    5775.80928140443
        -2928  1.13854E+00  3.37318E+00  2.41546E+00 -6.94957E-01  8.65809E-02  2.25948E-02  8.76723E-02  8.48915E-03  6.97991E-02  4.67058E-02  2.98435E-02  8.79043E-02    5751.48175068729
        -2927  1.15488E+00  3.38875E+00  2.47419E+00 -5.70491E-01  7.80674E-02  2.37545E-02  8.69720E-02  1.06137E-03  7.22272E-02  4.38575E-02  2.32803E-02  7.71807E-02    5793.33543290443
        -2926  1.11305E+00  3.37987E+00  2.44150E+00 -7.02959E-01  8.35979E-02  2.41265E-02  7.59789E-02 -2.36000E-03  8.16800E-02  3.96179E-02  1.97927E-02  7.77817E-02    5799.77188058979
        -2925  1.08690E+00  3.39914E+00  2.45282E+00 -6.29185E-01  7.24140E-02  2.39017E-02  8.55847E-02 -5.54175E-03  8.15759E-02  4.05274E-02  2.85777E-02  9.14951E-02    5756.38486922247
        -2924  1.10014E+00  3.40680E+00  2.44756E+00 -6.03977E-01  7.56614E-02  2.36834E-02  8.48717E-02 -2.05937E-03  7.79674E-02  4.17960E-02  3.05155E-02  9.31454E-02    5811.86373958163
        -2923  1.15537E+00  3.39131E+00  2.43496E+00 -7.06211E-01  8.89405E-02  2.28153E-02  1.06040E-01  6.56977E-03  8.15528E-02  5.29940E-02  3.16787E-02  8.60980E-02    5799.47242679860
        -2922  1.14888E+00  3.39696E+00  2.43647E+00 -7.50528E-01  8.61544E-02  2.28184E-02  1.01985E-01  2.07307E-03  8.02821E-02  4.59415E-02  3.03421E-02  8.36247E-02    5771.71648547151
        -2921  1.14196E+00  3.40242E+00  2.41521E+00 -4.68622E-01  7.03060E-02  2.25277E-02  8.33138E-02  4.33673E-03  9.32736E-02  4.06316E-02  2.81518E-02  8.12994E-02    5806.71107314863
        -2920  1.11978E+00  3.37167E+00  2.44250E+00 -7.09835E-01  8.33256E-02  2.38624E-02  9.33353E-02  7.78761E-03  6.99385E-02  3.87055E-02  2.81148E-02  8.76878E-02    5823.95520140380
        -2919  1.10894E+00  3.37916E+00  2.45350E+00 -4.75270E-01  6.93732E-02  2.31151E-02  8.76341E-02  6.89843E-03  8.15690E-02  3.90879E-02  3.84331E-02  9.39629E-02    5791.52991292092
        -2918  1.10238E+00  3.40374E+00  2.43523E+00 -7.70392E-01  8.51402E-02  2.28245E-02  1.04095E-01  1.20161E-03  7.48700E-02  2.84830E-02  2.92916E-02  7.81962E-02    5708.71915806709
        -2917  1.12022E+00  3.35626E+00  2.43572E+00 -4.28509E-01  7.03655E-02  2.25143E-02  8.58917E-02  4.54053E-03  6.65226E-02  3.50603E-02  2.94885E-02  8.52880E-02    5744.48517218616
        -2916  1.14124E+00  3.37803E+00  2.46465E+00 -7.04091E-01  8.88693E-02  2.25351E-02  8.77261E-02 -5.36940E-03  8.10508E-02  2.59818E-02  2.94543E-02  8.86183E-02    5777.52216666960
        -2915  1.12668E+00  3.39335E+00  2.45971E+00 -5.01881E-01  8.06561E-02  2.27039E-02  8.67620E-02 -1.43510E-03  9.15562E-02  3.68936E-02  3.49826E-02  1.00805E-01    5850.40415079947
        -2914  1.12024E+00  3.40662E+00  2.42495E+00 -5.52698E-01  7.97652E-02  2.33623E-02  9.48273E-02 -5.72472E-03  6.94817E-02  2.69343E-02  2.41157E-02  7.21396E-02    5803.59788024449
        -2913  1.13639E+00  3.39830E+00  2.45424E+00 -8.59272E-01  8.66174E-02  2.28341E-02  1.04595E-01  6.56946E-05  7.65693E-02  4.22811E-02  2.61882E-02  7.82317E-02    5915.98393545935
        -2912  1.11460E+00  3.40560E+00  2.45651E+00 -8.48135E-01  8.36118E-02  2.36884E-02  9.63684E-02 -3.61786E-03  7.50498E-02  3.56316E-02  2.74490E-02  8.44465E-02    5754.07640956952
        -2911  1.12429E+00  3.39135E+00  2.43553E+00 -7.04174E-01  7.85160E-02  2.31623E-02  8.29422E-02 -9.73656E-03  8.65284E-02  2.99678E-02  3.35882E-02  9.30204E-02    5756.83967572265
        -2910  1.09114E+00  3.38729E+00  2.44123E+00 -6.52875E-01  8.28537E-02  2.30053E-02  8.18297E-02  7.13975E-04  7.98277E-02  2.96228E-02  3.26453E-02  9.53719E-02    5838.35347834859
        -2909  1.11210E+00  3.38321E+00  2.43713E+00 -6.47878E-01  8.32224E-02  2.23099E-02  8.54716E-02  4.28326E-03  7.16836E-02  3.20664E-02  2.80269E-02  8.40326E-02    5754.83724690909
        -2908  1.10861E+00  3.36993E+00  2.43171E+00 -5.83468E-01  7.44782E-02  2.26325E-02  8.54764E-02  1.47641E-02  7.30883E-02  3.75457E-02  3.16797E-02  9.38320E-02    5776.11359078414
        -2907  1.15773E+00  3.40410E+00  2.45105E+00 -5.40368E-01  8.44744E-02  2.22796E-02  9.14135E-02 -9.24973E-03  7.16688E-02  3.17279E-02  2.62846E-02  7.85662E-02    5763.71473255922
        -2906  1.12509E+00  3.39609E+00  2.42918E+00 -5.38199E-01  8.46906E-02  2.34341E-02  9.89038E-02  2.41063E-04  7.98017E-02  4.32435E-02  2.96307E-02  7.55245E-02    5815.86461579859
        -2905  1.13732E+00  3.39633E+00  2.43945E+00 -5.70063E-01  7.68444E-02  2.27105E-02  1.00984E-01 -4.82626E-03  7.62979E-02  4.35069E-02  2.70947E-02  8.95261E-02    5806.68388944445
        -2904  1.09581E+00  3.39672E+00  2.41856E+00 -6.62554E-01  7.85586E-02  2.36884E-02  1.14521E-01  4.83682E-03  7.81565E-02  4.76716E-02  2.95315E-02  9.01422E-02    5822.12563276068
        -2903  1.13773E+00  3.41738E+00  2.45894E+00 -9.02601E-01  9.56024E-02  2.37571E-02  9.42480E-02 -9.90532E-04  7.41146E-02  3.08475E-02  2.71037E-02  8.84533E-02    5852.15814146855
        -2902  1.12387E+00  3.39479E+00  2.47232E+00 -6.32707E-01  8.59708E-02  2.32886E-02  8.33978E-02  7.18674E-03  7.16157E-02  4.01251E-02  2.29783E-02  8.52465E-02    5731.28774612492
        -2901  1.11001E+00  3.38142E+00  2.45486E+00 -7.19798E-01  8.79857E-02  2.32643E-02  7.53590E-02  8.82049E-03  8.82547E-02  3.45798E-02  4.36136E-02  8.98256E-02    5785.05529446180
        -2900  1.11926E+00  3.40148E+00  2.42615E+00 -5.09630E-01  8.10800E-02  2.14116E-02  7.67202E-02  1.77486E-03  6.85786E-02  3.15520E-02  2.95192E-02  8.44682E-02    5751.98735085268
        -2899  1.11905E+00  3.40901E+00  2.43651E+00 -7.03701E-01  8.68365E-02  2.25800E-02  8.20236E-02  5.12774E-03  6.81169E-02  3.05972E-02  2.83819E-02  8.56866E-02    5792.10083972175
        -2898  1.14789E+00  3.40449E+00  2.44905E+00 -8.37591E-01  8.87449E-02  2.24046E-02  1.10240E-01  8.40549E-03  6.84075E-02  4.40170E-02  2.80287E-02  9.31905E-02    5848.89855217427
        -2897  1.10079E+00  3.38749E+00  2.41390E+00 -5.01229E-01  7.82434E-02  2.20658E-02  1.07282E-01  1.64985E-02  8.33025E-02  4.49242E-02  3.50468E-02  8.99452E-02    5818.74201388600
        -2896  1.09973E+00  3.38113E+00  2.43420E+00 -7.54035E-01  9.33595E-02  2.35056E-02  9.15433E-02  8.21549E-03  7.78911E-02  4.05960E-02  3.44993E-02  9.72297E-02    5803.84798282264
        -2895  1.11110E+00  3.40197E+00  2.44714E+00 -7.09734E-01  9.30174E-02  2.34165E-02  9.00785E-02  3.49433E-03  6.55009E-02  2.42948E-02  2.65522E-02  8.18614E-02    5803.50468797665
        -2894  1.09237E+00  3.41335E+00  2.41928E+00 -5.87298E-01  7.41588E-02  2.21078E-02  9.50165E-02 -4.89065E-03  6.90469E-02  2.91883E-02  2.26071E-02  8.67794E-02    5729.97762964766
        -2893  1.10316E+00  3.39121E+00  2.43258E+00 -5.83998E-01  8.47977E-02  2.22708E-02  9.76007E-02 -2.97782E-03  6.81971E-02  2.78498E-02  2.13705E-02  7.75492E-02    5804.62051620182
